DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,PAX
2013-03-03,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433,-95.341442,6.46153846154,4.57557618622,2
2012-09-21,LAX,Los Angeles,33.942536,-118.408075,DEN,Denver,39.861656,-104.673178,14.3703703704,9.81030913082,6
2012-06-10,LAX,Los Angeles,33.942536,-118.408075,BOS,Boston,42.364347,-71.005181,12.3043478261,9.30021887625,6
2012-05-27,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,9.65,6.17529031919,0
2011-11-29,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,10.8421052632,9.51176556747,6
2012-07-05,MCO,Orlando,28.429394,-81.308994,ATL,Atlanta,33.636719,-84.428067,12.5833333333,8.98267253088,0
2012-12-26,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.5217391304,10.4658299641,5
2012-05-02,BOS,Boston,42.364347,-71.005181,SFO,San Francisco,37.618972,-122.374889,7.5625,4.87125924856,6
2012-01-06,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.6666666667,11.1882291087,6
2012-12-26,PHX,Phoenix,33.434278,-112.011583,ORD,Chicago,41.978603,-87.904842,12.625,8.8505096881,2
2012-11-06,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,14.0769230769,11.4470016229,5
2012-03-05,IAH,Houston,29.984433,-95.341442,LAX,Los Angeles,33.942536,-118.408075,11.2105263158,11.5690148787,0
2012-07-29,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,15.8125,11.5491586064,0
2012-06-27,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,12.76,8.57457481939,3
2012-02-05,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,8.0,5.04975246918,3
2012-10-17,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,9.94117647059,10.2620087473,3
2012-02-14,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.33333333333,6.84174859298,6
2012-05-07,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.52941176471,6.02201842262,3
2012-05-22,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,12.2272727273,9.75378714328,3
2012-11-25,SFO,San Francisco,37.618972,-122.374889,ORD,Chicago,41.978603,-87.904842,10.3,7.63716673836,3
2012-01-06,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,16.8709677419,11.3805153237,6
2012-09-26,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,12.7916666667,10.112322086,6
2011-12-06,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.2307692308,10.5006959476,3
2013-02-04,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,7.66666666667,5.49891764242,6
2012-01-13,BOS,Boston,42.364347,-71.005181,LGA,New York,40.777245,-73.872608,4.11111111111,2.93446947694,3
2012-05-17,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,11.3043478261,8.99714491385,3
2012-02-24,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,12.652173913,9.48495792703,6
2012-05-19,LGA,New York,40.777245,-73.872608,MIA,Miami,25.79325,-80.290556,13.4230769231,9.78232314708,6
2012-09-28,LAX,Los Angeles,33.942536,-118.408075,BOS,Boston,42.364347,-71.005181,16.0344827586,11.6050566522,6
2012-11-13,DEN,Denver,39.861656,-104.673178,SFO,San Francisco,37.618972,-122.374889,11.619047619,8.87398552217,3
2012-09-27,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,14.16,11.0667670678,6
2011-10-04,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,14.2142857143,9.25505724759,0
2012-03-09,JFK,New York,40.639751,-73.778925,MIA,Miami,25.79325,-80.290556,14.3793103448,10.8575641609,6
2012-11-06,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.0,8.70571500132,0
2012-10-10,DEN,Denver,39.861656,-104.673178,SFO,San Francisco,37.618972,-122.374889,10.4736842105,8.45490272664,3
2013-02-11,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,9.3,7.42754475265,0
2012-08-14,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,17.1290322581,11.7352515539,0
2012-02-19,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,11.6363636364,8.3011499751,0
2011-10-23,DEN,Denver,39.861656,-104.673178,ORD,Chicago,41.978603,-87.904842,10.05,6.91660853918,6
2012-09-13,DEN,Denver,39.861656,-104.673178,MSP,Minneapolis,44.881956,-93.221767,9.47368421053,6.70297132333,6
2013-02-05,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,11.4444444444,10.4668789787,5
2012-07-01,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,14.3666666667,10.1045682169,7
2012-06-10,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.724137931,9.68023225712,3
2012-10-22,MIA,Miami,25.79325,-80.290556,JFK,New York,40.639751,-73.778925,12.84,10.2983817499,0
2011-10-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,13.6206896552,9.31363744004,3
2012-03-25,DTW,Detroit,42.212444,-83.353389,ORD,Chicago,41.978603,-87.904842,6.0,3.89444048185,5
2012-03-09,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,13.6785714286,9.68409758479,6
2012-04-20,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,10.7272727273,8.74605662533,6
2012-02-02,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,14.2222222222,11.1677190472,3
2012-10-17,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,10.8571428571,8.02674102165,0
2013-02-07,PHX,Phoenix,33.434278,-112.011583,DEN,Denver,39.861656,-104.673178,9.11111111111,6.37909166398,6
2012-05-13,SFO,San Francisco,37.618972,-122.374889,ATL,Atlanta,33.636719,-84.428067,10.380952381,9.14043866823,0
2012-09-03,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,10.7826086957,7.91980556315,2
2013-02-25,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433,-95.341442,6.07692307692,4.03033370127,3
2011-10-19,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,12.8076923077,8.12905520104,0
2011-09-17,BOS,Boston,42.364347,-71.005181,SFO,San Francisco,37.618972,-122.374889,13.0769230769,8.4802031906,0
2012-06-29,BOS,Boston,42.364347,-71.005181,LAX,Los Angeles,33.942536,-118.408075,14.4074074074,10.6129792064,6
2011-10-07,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,10.0555555556,7.77985499806,3
2011-11-20,ATL,Atlanta,33.636719,-84.428067,DEN,Denver,39.861656,-104.673178,11.4583333333,8.83657993386,5
2012-02-02,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,5.63636363636,4.58852323243,6
2012-01-18,ORD,Chicago,41.978603,-87.904842,BOS,Boston,42.364347,-71.005181,9.35294117647,7.4072698789,3
2012-08-26,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,15.5925925926,10.0546937346,0
2011-11-28,DFW,Dallas-Fort Worth,32.896828,-97.037997,BOS,Boston,42.364347,-71.005181,9.0,6.58596993616,6
2012-04-07,SEA,Seattle,47.449,-122.309306,SFO,San Francisco,37.618972,-122.374889,9.55555555556,7.50076248847,5
2012-03-31,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,8.94117647059,7.00420042042,2
2012-10-21,BOS,Boston,42.364347,-71.005181,LAX,Los Angeles,33.942536,-118.408075,13.8928571429,8.84156549618,3
2012-07-11,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,14.5172413793,9.31059569084,0
2012-07-25,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,12.64,8.40575199888,0
2012-12-22,BOS,Boston,42.364347,-71.005181,PHL,Philadelphia,39.871944,-75.241139,9.8,8.41087731113,4
2012-08-02,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,14.0,8.99382504215,0
2012-01-22,IAH,Houston,29.984433,-95.341442,ORD,Chicago,41.978603,-87.904842,9.6,8.77436457438,6
2012-10-04,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,16.1071428571,11.7041913534,6
2011-12-27,ORD,Chicago,41.978603,-87.904842,PHL,Philadelphia,39.871944,-75.241139,8.47058823529,5.93840937309,5
2011-11-04,SFO,San Francisco,37.618972,-122.374889,DFW,Dallas-Fort Worth,32.896828,-97.037997,13.5,9.51314879522,3
2011-10-17,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,13.6153846154,9.05572492107,6
2012-01-29,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,10.9166666667,7.70046111926,6
2012-12-14,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751,-73.778925,13.7857142857,10.307699901,5
2013-03-04,DFW,Dallas-Fort Worth,32.896828,-97.037997,PHL,Philadelphia,39.871944,-75.241139,10.4,7.02177065689,2
2012-09-15,ORD,Chicago,41.978603,-87.904842,ATL,Atlanta,33.636719,-84.428067,11.45,11.4637873782,5
2012-01-28,LAX,Los Angeles,33.942536,-118.408075,EWR,Newark,40.6925,-74.168667,10.8571428571,9.28593406333,5
2012-01-15,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,10.6956521739,7.89381105452,6
2012-05-20,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,11.9565217391,8.44489227484,3
2012-02-03,LAX,Los Angeles,33.942536,-118.408075,ORD,Chicago,41.978603,-87.904842,11.25,9.28992096731,7
2012-02-18,JFK,New York,40.639751,-73.778925,LAS,Las Vegas,36.080056,-115.15225,12.0384615385,8.45922345954,0
2012-12-17,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,7.13333333333,4.71875689845,0
2013-01-04,BOS,Boston,42.364347,-71.005181,LAX,Los Angeles,33.942536,-118.408075,12.2272727273,10.4148786344,5
2013-01-08,MSP,Minneapolis,44.881956,-93.221767,ATL,Atlanta,33.636719,-84.428067,10.35,10.1529098759,0
2011-12-09,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,15.4642857143,11.0033063814,0
2012-04-17,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.46666666667,7.7907148642,3
2012-11-15,MIA,Miami,25.79325,-80.290556,JFK,New York,40.639751,-73.778925,14.9047619048,13.8488438575,5
2011-11-19,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.6086956522,8.06078684652,2
2012-04-20,IAH,Houston,29.984433,-95.341442,ORD,Chicago,41.978603,-87.904842,10.7777777778,10.1665863063,6
2011-09-29,DTW,Detroit,42.212444,-83.353389,ORD,Chicago,41.978603,-87.904842,10.8947368421,8.63387859824,3
2013-02-12,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,6.69230769231,4.98973304871,0
2012-06-23,ATL,Atlanta,33.636719,-84.428067,DTW,Detroit,42.212444,-83.353389,9.26315789474,6.16299084377,5
2012-01-24,DFW,Dallas-Fort Worth,32.896828,-97.037997,PHL,Philadelphia,39.871944,-75.241139,7.625,4.96487663492,0
2012-01-12,LAS,Las Vegas,36.080056,-115.15225,DFW,Dallas-Fort Worth,32.896828,-97.037997,12.5416666667,8.88075186137,3
2012-08-17,LAX,Los Angeles,33.942536,-118.408075,SFO,San Francisco,37.618972,-122.374889,16.8,11.4398683662,7
2012-01-25,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,10.5294117647,9.96316746233,5
2012-02-19,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,13.0,9.26892892832,0
2012-08-31,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364347,-71.005181,11.4,8.60477223773,5
2012-03-28,BOS,Boston,42.364347,-71.005181,ATL,Atlanta,33.636719,-84.428067,10.0952380952,7.86705003101,6
2011-12-05,MIA,Miami,25.79325,-80.290556,ATL,Atlanta,33.636719,-84.428067,13.2,11.0529030877,6
2012-11-13,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,11.6666666667,10.7100832094,5
2012-06-01,JFK,New York,40.639751,-73.778925,MIA,Miami,25.79325,-80.290556,13.9259259259,9.44590235102,0
2011-09-29,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,11.625,8.62661453068,3
2012-07-06,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,8.52941176471,5.73495474109,5
2012-04-11,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,13.08,9.30465833154,6
2013-02-05,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.6,7.84492556643,0
2012-04-08,DTW,Detroit,42.212444,-83.353389,ORD,Chicago,41.978603,-87.904842,8.125,5.85234995536,2
2012-12-01,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,11.3,8.90948636951,5
2013-03-04,LAX,Los Angeles,33.942536,-118.408075,DFW,Dallas-Fort Worth,32.896828,-97.037997,11.3888888889,10.4607889079,5
2011-09-08,ATL,Atlanta,33.636719,-84.428067,CLT,Charlotte,35.214,-80.943139,6.06666666667,4.36653943835,0
2012-04-17,LGA,New York,40.777245,-73.872608,ATL,Atlanta,33.636719,-84.428067,7.55555555556,5.24933858267,7
2012-04-26,DEN,Denver,39.861656,-104.673178,ORD,Chicago,41.978603,-87.904842,9.6,8.29330738418,6
2012-04-17,ORD,Chicago,41.978603,-87.904842,LAX,Los Angeles,33.942536,-118.408075,12.25,8.62377905662,7
2012-06-11,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,17.7058823529,12.9907412525,7
2012-02-11,DEN,Denver,39.861656,-104.673178,SFO,San Francisco,37.618972,-122.374889,13.8888888889,9.51651735479,2
2011-09-27,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,13.2,8.70823365174,6
2011-10-29,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861656,-104.673178,8.83333333333,5.94336011123,2
2013-01-25,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,7.06666666667,4.58984386082,0
2013-01-29,ORD,Chicago,41.978603,-87.904842,PHL,Philadelphia,39.871944,-75.241139,6.61538461538,5.04213019696,3
2011-09-06,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,12.04,7.43011888644,6
2012-08-30,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,6.16666666667,4.87728190572,6
2012-03-25,LGA,New York,40.777245,-73.872608,CLT,Charlotte,35.214,-80.943139,6.71428571429,4.59813626841,5
2012-10-05,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,14.9655172414,9.79971850405,7
2012-09-22,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,12.5833333333,9.08853394533,5
2012-06-24,SFO,San Francisco,37.618972,-122.374889,BOS,Boston,42.364347,-71.005181,12.0833333333,8.1289427446,3
2012-04-12,DEN,Denver,39.861656,-104.673178,PHX,Phoenix,33.434278,-112.011583,10.4285714286,6.91065430022,3
2012-02-05,EWR,Newark,40.6925,-74.168667,ATL,Atlanta,33.636719,-84.428067,12.9411764706,14.3373227462,5
2013-01-10,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAX,Los Angeles,33.942536,-118.408075,14.68,12.1405656101,3
2012-04-12,DFW,Dallas-Fort Worth,32.896828,-97.037997,ORD,Chicago,41.978603,-87.904842,8.41176470588,5.78855361392,7
2012-07-29,ATL,Atlanta,33.636719,-84.428067,MSP,Minneapolis,44.881956,-93.221767,10.9583333333,7.69799051513,0
